job_name,job_salary,job_address,job_exp,company_name,demand,welfare
job_name,job_salary,job_address,job_exp,company_name,demand,welfare
软件开发（C C++ JAVA python 大数据 js）,20-30K·14薪,深圳·龙岗区·坂田,经验不限,华为技术有限公司,C++ Java Python,餐补，节日福利，年终奖，零食下午茶，定期体检，加班补助，带薪年假，员工旅游，通讯补贴，免费班车，补充医疗保险，交通补助，离职补偿，住房补贴，五险一金，股票期权，全勤奖
大数据ETL工程师,11-15K,乌鲁木齐·水磨沟区·亚欧国际会展中心,3-5年,新疆友通,SQL Hadoop Spark Kettle Informatica SPSS Kafka Java,五险，带薪年假，加班补助，节日福利，员工旅游
大数据etl工程师,14-20K·13薪,深圳·龙岗区·横岗,3-5年,虹威电子,MySQL/Oracle/DB2 Kettle/Informatica Python,
大数据etl工程师,20-30K,广州·天河区·小新塘,5-10年,安徽云外勤,Flink ETL开发经验 Doris Starrocks,员工旅游，节假日加班费，免费班车，工龄奖，节日福利，带薪年假，生日福利，企业年金，五险一金，夜班补助，加班补助，团建聚餐，底薪加提成，包吃，绩效奖金
ETL大数据工程师,12-13K,上海·徐汇区·上海南站,1-3年,哈步数据,ETL Hive 数据库开发,五险一金，带薪年假，节日福利
大数据ETL工程师,8-13K,秦皇岛·海港区·秦皇东大街,1-3年,晨砻信息科技公司,Java Python Spark Hadoop Sqoop Azkaban Flink,带薪年假，五险一金，定期体检，全额公积金，项目奖金，试用期全额
大数据etl工程师,12-18K,成都·双流区·中和,1-3年,诚迈科技,Python Spark Hive 英语好 pyspark Hadoop,团建聚餐，定期体检，免费班车，交通补助，通讯补贴，员工旅游，法定节假日三薪，餐补，带薪年假，加班补助，五险一金，节日福利
大数据ETL工程师,20-40K,南京,5-10年,Digital Alchemy,Java Python Hadoop 数仓体系 EDL API 大数据开发 Spark,补充医疗保险，零食下午茶，加班补助，带薪年假，六险一金，节日福利，定期体检，员工旅游
大数据开发工程师（Spark）,25-35K,上海·虹口区·四川北路,3-5年,甜橙金融,Java Spark Hive 计算机相关专业 大数据开发经验,年终奖，餐补，带薪年假，节日福利，交通补助，通讯补贴，补充医疗保险，定期体检，五险一金
大数据ETL开发工程师,12-20K,上海·虹口区·北外滩,3-5年,嗨普智能,Hive Spark Hbase 计算机相关专业 ETL设计/开发经验 大数据开发经验,带薪年假，定期体检，年终奖，补充医疗保险，节日福利，五险一金
